P,T
-58.21173959,87.883
-59.15512627,87.989
-57.60964901,88.094
-57.69045191,88.199
-57.73084865,88.305
-58.07748531,88.41
-58.03448261,88.516
-57.52103126,88.621
-58.58822433,88.726
-57.51582973,88.832
-58.46449824,88.937
-58.24949358,89.043
-56.87331417,89.148
-58.54786294,89.253
-58.16348995,89.359
-56.96449698,89.464
-58.89184166,89.569
-58.28986828,89.675
-57.51843049,89.78
-59.19280978,89.886
-57.08577293,89.991
-59.02348078,90.096
-58.11786679,90.202
-56.01052033,90.307
-57.73084865,90.413
-56.91374313,90.518
-58.07748531,90.623
-58.84884521,90.729
-57.04535075,90.834
-57.64484184,90.94
-58.24949358,91.045
-58.16086754,91.15
-58.33286802,91.256
-56.65569085,91.361
-58.67949657,91.466
-58.80849255,91.571
-58.8058485,91.676
-57.98624638,91.782
-58.41623568,91.887
-58.50486446,91.992
-57.47022586,92.098
-57.85985697,92.203
-57.94063087,92.309
-57.08318659,92.414
-56.91374313,92.519
-57.64223674,92.625
-57.68784537,92.731
-56.65569085,92.837
-56.74428408,92.942
-54.71750165,93.047
-55.58037504,93.153
-56.82514903,93.258
-58.55313372,93.364
-58.16086754,93.469
-58.28986828,93.574
-57.77124225,93.68
-59.23048727,93.785
-57.47282518,93.89
-59.40245094,93.996
-58.59086116,94.101
-59.87801032,94.207
-58.76285154,94.312
-59.44544123,94.417
-60.60337888,94.523
-58.23899241,94.628
-59.2278288,94.734
-60.04459285,94.839
-58.02401029,94.944
-58.53995676,95.05
-57.68002576,95.155
-60.51201108,95.261
-59.99623867,95.366
-60.89881653,95.471
-60.08489058,95.577
-59.05321415,95.682
-58.92424436,95.788
-59.3541348,95.893
-58.6259443,95.998
-59.23048727,96.104
-59.18483869,96.209
-58.92689274,96.314
-60.0875779,96.42
-60.21922321,96.525
-59.35946041,96.631
-59.48576414,96.736
-59.14184833,96.841
-58.66893769,96.947
-60.34817891,97.052
-58.02662837,97.158
-60.56039685,97.263
-58.71721316,97.368
-58.58295066,97.474
-59.95862198,97.579
-59.27081865,97.685
-58.62858258,97.79
-58.54522755,97.895
-58.15562273,98.001
-58.66893769,98.106
-58.84355423,98.211
-58.97253418,98.316
-59.48843127,98.421
-58.75492372,98.527
-57.81163272,98.632
-60.52011632,98.737
-58.93218949,98.843
-58.75756632,98.948
-58.93218949,99.054
-56.78471812,99.159
-59.57708059,99.264
-57.21220195,99.37
-58.02924645,99.475
-57.94063087,99.581
-58.93218949,99.686
-59.23048727,99.791
-59.05851955,99.897
-57.85463235,100.002
-58.24686829,100.108
-58.54522755,100.213
-57.72824067,100.318
-57.98886302,100.424
-58.07224626,100.529
-58.06962674,100.634
-57.64484184,100.74
-59.40511519,100.845
-57.51582973,100.951
-57.64223674,101.056
-57.42462463,101.161
-59.19280978,101.267
-57.73084865,101.372
-59.06382496,101.478
-57.85463235,101.583
-58.11262486,101.688
-58.11524582,101.794
-58.80320445,101.899
-57.98624638,102.005
-59.4507726,102.11
-58.54786294,102.215
-59.01552699,102.321
-58.92954111,102.426
-57.42982039,102.532
